# exact coordinates; first line is the origin v. Edges = all pairs at exact unit distance.
P(0, 0)
P(1, 0)
P(1/2, 1/2*sqrt(3))
P(-1/2, 1/2*sqrt(3))
P(-1, 0)
P(-1/2, -1/2*sqrt(3))
P(1/2, -1/2*sqrt(3))
P(5/6, -1/6*sqrt(11))
P(5/12 + 1/12*sqrt(33), 5/12*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + 1/12*sqrt(33), 5/12*sqrt(3) + 1/12*sqrt(11))
P(-5/6, 1/6*sqrt(11))
P(-5/12 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(5/12 + -1/12*sqrt(33), -5/12*sqrt(3) + -1/12*sqrt(11))
P(1/6, 1/6*sqrt(11))
P(7/12 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(1/12 + -1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(11/12 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(1/3, 1/2*sqrt(3) + -1/6*sqrt(11))
P(-11/12 + -1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(-1/12 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-7/12 + 1/12*sqrt(33), 5/12*sqrt(3) + -1/12*sqrt(11))
P(-7/12 + -1/12*sqrt(33), -5/12*sqrt(3) + -1/12*sqrt(11))
P(1/3, -1/2*sqrt(3) + -1/6*sqrt(11))
P(-1/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-11/12 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(11/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(1/12 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(-1/3, -1/2*sqrt(3) + 1/6*sqrt(11))
P(7/6, 1/6*sqrt(11))
P(19/12 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/12*sqrt(11))
P(13/12 + -1/12*sqrt(33), 1/12*sqrt(3) + 1/12*sqrt(11))
P(2/3, -1/2*sqrt(3) + 1/6*sqrt(11))
P(-2/3, 1/3*sqrt(11))
P(-1/4 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11))
P(1/6 + -1/6*sqrt(33), -5/6*sqrt(3) + 1/6*sqrt(11))
P(-1/3 + -1/6*sqrt(33), -1/3*sqrt(3) + 1/6*sqrt(11))
P(1/2 + -1/6*sqrt(33), -1/3*sqrt(3))
P(4/3 + -1/6*sqrt(33), -1/3*sqrt(3) + -1/6*sqrt(11))
P(3/4 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/4*sqrt(11))
P(1/3 + -1/6*sqrt(33), -1/3*sqrt(3) + -1/6*sqrt(11))
P(-13/12 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/12*sqrt(11))
P(-7/12 + 1/12*sqrt(33), -7/12*sqrt(3) + -1/12*sqrt(11))
P(-17/12 + 1/12*sqrt(33), -7/12*sqrt(3) + 1/12*sqrt(11))
P(-5/12 + 1/12*sqrt(33), -7/12*sqrt(3) + 1/12*sqrt(11))
P(7/12 + 1/12*sqrt(33), -7/12*sqrt(3) + 1/12*sqrt(11))
P(1/6, -1*sqrt(3) + 1/6*sqrt(11))
P(-3/4 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/4*sqrt(11))
P(-7/6, -1/2*sqrt(3) + 1/3*sqrt(11))
