  progress 5000 pairs, hits=0 unknown=0 (4s)
  progress 10000 pairs, hits=0 unknown=0 (10s)
  progress 15000 pairs, hits=0 unknown=0 (14s)
  progress 20000 pairs, hits=0 unknown=0 (19s)
  progress 25000 pairs, hits=0 unknown=0 (25s)
  progress 30000 pairs, hits=0 unknown=0 (32s)
  progress 35000 pairs, hits=0 unknown=0 (37s)
  progress 40000 pairs, hits=0 unknown=0 (43s)
  progress 45000 pairs, hits=0 unknown=0 (50s)
  progress 50000 pairs, hits=0 unknown=0 (55s)
  progress 55000 pairs, hits=0 unknown=0 (62s)
  progress 60000 pairs, hits=0 unknown=0 (70s)
  progress 65000 pairs, hits=0 unknown=0 (78s)
  progress 70000 pairs, hits=0 unknown=0 (84s)
  progress 75000 pairs, hits=0 unknown=0 (95s)
  progress 80000 pairs, hits=0 unknown=0 (101s)
  progress 85000 pairs, hits=0 unknown=0 (111s)
  progress 90000 pairs, hits=0 unknown=0 (120s)
  progress 95000 pairs, hits=0 unknown=0 (131s)
  progress 100000 pairs, hits=0 unknown=0 (147s)
  progress 105000 pairs, hits=0 unknown=0 (157s)
  progress 110000 pairs, hits=0 unknown=0 (203s)
  progress 115000 pairs, hits=0 unknown=0 (227s)
  progress 120000 pairs, hits=0 unknown=0 (257s)
  progress 125000 pairs, hits=0 unknown=0 (281s)
DONE pairs=129795 hits=[] unknown=0 (337s)
PAIRS_DONE
