# exact coordinates (udg.F repr), subset |x|<1.2074 of small5_r15; edges = all exact unit pairs
P(1, 0)
P(-1/2, 1/2*sqrt(3))
P(-1/2, -1/2*sqrt(3))
P(-1, 0)
P(1/2, -1/2*sqrt(3))
P(1/2, 1/2*sqrt(3))
P(1/4 + -1/12*sqrt(33), 1/12*sqrt(3) + 1/4*sqrt(11))
P(1/4 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/4*sqrt(11))
P(1/6*sqrt(33), -1/6*sqrt(3))
P(-1/4 + 1/12*sqrt(33), -1/12*sqrt(3) + -1/4*sqrt(11))
P(-1/4 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/4*sqrt(11))
P(-1/6*sqrt(33), 1/6*sqrt(3))
P(-1/4 + 1/12*sqrt(33), 1/12*sqrt(3) + 1/4*sqrt(11))
P(-1/4 + -1/12*sqrt(33), -1/12*sqrt(3) + 1/4*sqrt(11))
P(-1/6*sqrt(33), -1/6*sqrt(3))
P(1/4 + -1/12*sqrt(33), -1/12*sqrt(3) + -1/4*sqrt(11))
P(1/4 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/4*sqrt(11))
P(1/6*sqrt(33), 1/6*sqrt(3))
P(-7/12 + 1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(5/12 + -1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + 1/12*sqrt(33), 1/4*sqrt(3) + -1/12*sqrt(11))
P(7/12 + -1/12*sqrt(33), -1/12*sqrt(3) + 1/12*sqrt(11))
P(1/6, 1/3*sqrt(3) + -1/6*sqrt(11))
P(1/6, -1/3*sqrt(3) + 1/6*sqrt(11))
P(7/12 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-5/12 + 1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(5/12 + -1/12*sqrt(33), -1/4*sqrt(3) + 1/12*sqrt(11))
P(-7/12 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-1/6, -1/3*sqrt(3) + 1/6*sqrt(11))
P(-1/6, 1/3*sqrt(3) + -1/6*sqrt(11))
P(0, -1/6*sqrt(3) + 1/6*sqrt(11))
P(-1/4 + 1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(1/4 + -1/12*sqrt(33), 1/12*sqrt(3) + -1/12*sqrt(11))
P(-1 + 1/6*sqrt(33), 1/6*sqrt(3))
P(1 + -1/6*sqrt(33), 1/6*sqrt(3))
